epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,6025.49,0.61973,2.68678,0.24519,0.38512,1.06983,0.97555,0.98028,0.99155,0.90815,0.87111,0.84029,0.86013,0.72943,0.52019,1.78459,0.04624,0.25543,0.95733,0.003961,0.003961,0.003961
63,6121.62,0.61885,2.6805,0.24258,0.38279,1.06785,0.97442,0.98082,0.99157,0.90829,0.87082,0.8409,0.86019,0.72959,0.51991,1.78155,0.04607,0.25515,0.95709,0.003862,0.003862,0.003862
64,6217.7,0.61903,2.67522,0.24391,0.3786,1.06981,0.97508,0.98066,0.99158,0.90839,0.8718,0.84044,0.86172,0.7305,0.5195,1.77792,0.04586,0.25475,0.95688,0.003763,0.003763,0.003763
65,6314.47,0.61516,2.6462,0.24056,0.37583,1.06751,0.97572,0.98079,0.99156,0.90878,0.87236,0.8412,0.86303,0.73097,0.51895,1.77461,0.04568,0.25426,0.95646,0.003664,0.003664,0.003664
66,6410.43,0.61367,2.64321,0.23895,0.37881,1.06571,0.97566,0.98069,0.99156,0.90914,0.87271,0.84221,0.86468,0.73124,0.51841,1.77122,0.04553,0.25418,0.95615,0.003565,0.003565,0.003565
67,6506.37,0.61712,2.62813,0.2389,0.37909,1.06795,0.97553,0.98079,0.99156,0.90896,0.87304,0.84298,0.8654,0.73192,0.51797,1.76763,0.04543,0.25391,0.95583,0.003466,0.003466,0.003466
68,6603,0.60838,2.59498,0.23807,0.37341,1.06463,0.97541,0.98059,0.99156,0.90954,0.8722,0.84324,0.86589,0.73337,0.51731,1.76274,0.04539,0.25352,0.95538,0.003367,0.003367,0.003367
69,6699.79,0.60852,2.57394,0.23964,0.3746,1.06567,0.97575,0.98066,0.99158,0.90968,0.87306,0.84413,0.86602,0.73397,0.51662,1.75989,0.04533,0.25305,0.95492,0.003268,0.003268,0.003268
70,6796.45,0.59914,2.51869,0.2349,0.36556,1.05862,0.97542,0.98109,0.99147,0.90984,0.87321,0.84401,0.86673,0.73487,0.51611,1.75747,0.04524,0.25278,0.95451,0.003169,0.003169,0.003169
71,6893.06,0.60098,2.54055,0.23629,0.36656,1.06155,0.97567,0.98143,0.99161,0.90984,0.87334,0.8442,0.8667,0.73626,0.51568,1.75358,0.04517,0.2524,0.95411,0.00307,0.00307,0.00307
